ProductId,ProductCategory,ChannelId,Amount,Value,TransactionStartTime,PricingStrategy,FraudResult
ProductId_10,airtime,ChannelId_3,1000.0,1000,2018-11-15T02:18:49Z,2,0
ProductId_6,financial_services,ChannelId_2,-20.0,20,2018-11-15T02:19:08Z,2,0
ProductId_1,airtime,ChannelId_3,500.0,500,2018-11-15T02:44:21Z,2,0
ProductId_21,utility_bill,ChannelId_3,20000.0,21800,2018-11-15T03:32:55Z,2,0
ProductId_6,financial_services,ChannelId_2,-644.0,644,2018-11-15T03:34:21Z,2,0
ProductId_3,airtime,ChannelId_3,2000.0,2000,2018-11-15T03:35:10Z,2,0
ProductId_3,airtime,ChannelId_3,10000.0,10000,2018-11-15T03:44:31Z,4,0
ProductId_6,financial_services,ChannelId_2,-500.0,500,2018-11-15T03:45:13Z,2,0
ProductId_10,airtime,ChannelId_3,500.0,500,2018-11-15T04:14:59Z,2,0
ProductId_15,financial_services,ChannelId_3,600.0,600,2018-11-15T04:31:48Z,2,0
ProductId_3,airtime,ChannelId_3,890.0,890,2018-11-15T04:32:08Z,2,0
ProductId_6,financial_services,ChannelId_2,-40.0,40,2018-11-15T04:32:42Z,2,0
ProductId_15,financial_services,ChannelId_3,600.0,600,2018-11-15T04:35:10Z,2,0
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2018-11-15T04:47:31Z,2,0
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2018-11-15T04:48:09Z,2,0
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2018-11-15T04:51:20Z,2,0
ProductId_15,financial_services,ChannelId_3,500.0,500,2018-11-15T04:52:37Z,2,0
ProductId_11,data_bundles,ChannelId_3,1000.0,1000,2018-11-15T04:54:00Z,2,0
ProductId_6,financial_services,ChannelId_2,-10.0,10,2018-11-15T04:54:18Z,2,0
ProductId_3,airtime,ChannelId_3,500.0,500,2018-11-15T04:56:25Z,4,0
ProductId_6,financial_services,ChannelId_2,-25.0,25,2018-11-15T04:57:00Z,2,0
ProductId_3,airtime,ChannelId_3,500.0,500,2018-11-15T04:59:02Z,4,0
ProductId_6,financial_services,ChannelId_2,-25.0,25,2018-11-15T04:59:41Z,2,0
ProductId_3,airtime,ChannelId_3,1000.0,1000,2018-11-15T04:59:51Z,2,0
ProductId_10,airtime,ChannelId_3,500.0,500,2018-11-15T05:06:25Z,2,0
ProductId_6,financial_services,ChannelId_2,-10.0,10,2018-11-15T05:06:39Z,2,0
ProductId_3,airtime,ChannelId_3,1000.0,1000,2018-11-15T05:37:24Z,2,0
ProductId_19,tv,ChannelId_3,3500.0,3500,2018-11-15T05:38:25Z,2,0
ProductId_6,financial_services,ChannelId_2,-70.0,70,2018-11-15T05:38:35Z,2,0
ProductId_15,financial_services,ChannelId_3,2000.0,2000,2018-11-15T05:38:37Z,2,0
ProductId_4,airtime,ChannelId_3,2000.0,2000,2018-11-15T05:43:41Z,2,0
ProductId_6,financial_services,ChannelId_2,-100.0,100,2018-11-15T05:44:06Z,2,0
ProductId_15,financial_services,ChannelId_3,10000.0,10000,2018-11-15T05:49:37Z,2,0
ProductId_3,airtime,ChannelId_3,1500.0,1500,2018-11-15T05:50:14Z,2,0
ProductId_6,financial_services,ChannelId_2,-67.25,68,2018-11-15T05:50:48Z,2,0
ProductId_3,airtime,ChannelId_3,1000.0,1000,2018-11-15T05:52:57Z,2,0
ProductId_6,financial_services,ChannelId_2,-50.0,50,2018-11-15T05:53:27Z,2,0
ProductId_15,financial_services,ChannelId_3,2200.0,2200,2018-11-15T05:54:12Z,2,0
ProductId_15,financial_services,ChannelId_3,2200.0,2200,2018-11-15T05:55:12Z,2,0
ProductId_15,financial_services,ChannelId_3,8000.0,8000,2018-11-15T06:01:28Z,2,0
ProductId_15,financial_services,ChannelId_3,8000.0,8000,2018-11-15T06:02:27Z,2,0
ProductId_21,utility_bill,ChannelId_3,10000.0,11200,2018-11-15T06:03:00Z,2,0
ProductId_6,financial_services,ChannelId_2,-622.0,622,2018-11-15T06:03:27Z,2,0
